ENTRY_ID,Date,Monday No,IB Number,Campaign Name,Type,POD,Owner,Peer 1,Peer 2,Errors,Bucket,Comments,Owner Points,Peer 1 Points,Peer 2 Points
1,14/08/2026,11636475320,IB8165,MON_11636475320_COL_SUP_Solus_2026-08-21,Solus,CP,AD,AZ,AK,,No Error,,10,0,0
2,14/08/2026,11636476788,IB8163,MON_11636476788_COL_SUP_Duolus_2026-08-19 - Strepsils,Others,CP,AD,ASU,BM,,No Error,,10,0,0
3,14/08/2026,11636484504,MP1221,MON_11636484504_COL_SUP_CeDM_2026-08-19,Collab,CP,SV,AZ,AK,,No Error,,10,0,0
4,14/08/2026,12163943220,IBxxxx,MON_12163943220_COL_BlueyComp_Winners_Announcement_2026-08-21,Solus,CP,KY,SUK,KJ,,No Error,,10,0,0
5,14/08/2026,11636484504,IB8158,SUPP0001160 QV Skin Aug 26,Supplier,CP,HM,MG,BM,,No Error,,10,0,0
6,14/08/2026,11636484504,IB8158,SUPP0001119 Cetaphil Baby Aug 26,Supplier,CP,GR,SUK,AK,,No Error,,10,0,0
7,14/08/2026,11636484504,IB8158,SUPP0001114 Bepanthen Aug 26,Supplier,CP,KN,YS,KJ,,No Error,,10,0,0
8,14/08/2026,11636484504,IB8158,SUPP0001163 Glow Lab Aug 26,Supplier,CP,NJ,ASU,BM,,No Error,,10,0,0
9,14/08/2026,11636484504,IB8158,SUPP0040568 Sanitarium SSW,Supplier,CP,JR,AZ,AK,,No Error,,10,0,0
10,14/08/2026,11636484504,IB8158,SUPP0060485 Cremissimo Retargeting,Supplier,CP,NS,VI,KJ,,No Error,,10,0,0
11,14/08/2026,11636484504,IB8158,SUPP0001118 Monday Hair Aug '26,Supplier,CP,KY,MG,BM,,No Error,,10,0,0
12,14/08/2026,11636484504,IB8158,SUPP0060488 Tip Top The One,Supplier,CP,SP,SUK,AK,,No Error,,10,0,0
13,14/08/2026,11636484504,IB8158,SUPP0060484 The Juice Lab Wellness Shots 60mL,Supplier,CP,RN,YS,KJ,,No Error,,10,0,0
14,14/08/2026,11636484504,IB8158,SUPP0040596 Pepsi SSW,Supplier,CP,SV,ASU,BM,,No Error,,10,0,0
15,14/08/2026,11636476788,IB8163,SUPP0001018 - DoseTheory,Supplier,CP,RN,RV,AK,,No Error,,10,0,0
16,14/08/2026,12633878836,IB7947,MON_12633878836_COL_HealthAndHome_OD_Offer_Updates,Quick Hit,CP,SP,MG,KJ,,No Error,,10,0,0
17,14/08/2026,12720927175,IB5406,MON_12720927175_COL_Not Set_2026-08-17,Quick Hit,CP,CY,VI,KJ,,No Error,,10,0,0
18,14/08/2026,11623711309,NAB0090,MON_11623711309_NAB_Launch_Solus_2026-08-11,SOLUS,NCP,BM,PV,SC,,No Error,,10,0,0
19,14/08/2026,12758076556,KM0689,MON_12758076556_KMT_OD_new_app_2026-08-13,QUICKHIT,NCP,SA,SH,AR,,No Error,,10,0,0
20,14/08/2026,12758402988,TG0639,MON_12758402988_TAR_AnotherOnlineShop_OD_2026-08-13,QUICKHIT,NCP,AM,NV,AU,,No Error,,10,0,0
21,14/08/2026,12758481344,TG0640,MON_12758481344_TAR_NewOnlineShop_OD_2026-08-13,QUICKHIT,NCP,SA,AM,ED,,No Error,,10,0,0
22,14/08/2026,12758079261,KM0690,MON_12758079261_KMT_OD_another_app_shop_2026-08-13,QUICKHIT,NCP,RJ,NV,SC,,No Error,,10,0,0
23,14/08/2026,3564991349,RW0050,REWARDS QH Send 217,QUICKHIT,NCP,AP,SH,AU,,No Error,,10,0,0
24,14/08/2026,12355336165,CE1613,MON_12355336165_REXP_Solus_2026-08-18,SOLUS,NCP,SA,PV,ED,,No Error,,10,0,0
25,14/08/2026,12355316401,CE1614,MON_12355316401_OTR_Solus_2026-08-18,SOLUS,NCP,AP,NV,SC,,No Error,,10,0,0
26,14/08/2026,11636475395,HCF0293,MON_11636475395_HCF_Solus_2026-08-20,SOLUS,NCP,SA,PV,AR,,No Error,,10,0,0
27,14/08/2026,11636488684,TG0638,MON_11636488684_TAR_Solus_2026-08-20,SOLUS,NCP,RJ,AM,ED,,No Error,,10,0,0
28,14/08/2026,11645298904,VFFXXXX,MON_11645298904_VFF_Reminder_Solus_LinkAndTransfer_2026-08-24,SOLUS,NCP,SA,AM,AR,,No Error,,10,0,0
29,14/08/2026,11636475496,KH0167,MON_11636475496_KLH_Reminder_Solus_10kBP_2026-08-24,SOLUS,NCP,RJ,NV,SC,,No Error,,10,0,0
30,14/08/2026,11636475191,NABXXXX,MON_11636475191_NAB_Reminder2_Solus_2026-08-24,SOLUS,NCP,AP,PV,SC,,No Error,,10,0,0
31,14/08/2026,11645290143,BUNXXXX,MON_11645290143_BUN_Fathers_Day_Tools_Solus_2026-08-26,SOLUS,NCP,AP,SH,ED,,No Error,,10,0,0
